"GeneID","LWC142","LWC143","LWC148","LWC153","LWC157","LWC162"
"CUNH1orf226",0,13,1,0,6,9
"CUNH1orf232",69,343,144,137,394,358
"CUNH1orf35",110,194,96,404,295,189
"CUNH1orf43",306,656,452,662,903,531
"CUNH1orf50",549,500,603,645,812,543
"CUNH1orf52",858,1194,510,1178,1237,553
"CUNH1orf74",34,85,44,78,81,53
"CUNH20orf204",23,88,24,155,69,29
"CUNH20orf85",4,9,2,1,0,0
"CUNH20orf96",2,14,0,1,0,3
"CUNH21orf140",39,20,40,25,43,63
"CUNH21orf58",0,4,0,0,0,0
"CUNH21orf62",17,14,6,15,7,10
"CUNH21orf91",363,538,381,635,584,528
"CUNH22orf23",10,20,4,26,16,2
"CUNH22orf39",665,1122,685,936,1037,549
"CUNH2orf42",63,121,49,70,212,55
"CUNH2orf49",2022,2725,1840,2045,2503,1352
"CUNH2orf50",1,4,0,0,4,3
"CUNH2orf66",147,141,150,146,173,79
"CUNH2orf68",67,137,121,160,341,164
"CUNH2orf69",207,283,115,199,285,123
"CUNH2orf72",0,9,3,0,6,0
"CUNH2orf73",0,3,0,0,0,0
"CUNH2orf76",334,238,429,375,328,321
"CUNH2orf88",293,338,306,391,3296,685
"CUNH3orf14",1196,1046,1112,1288,1454,1631
"CUNH3orf18",52,77,23,53,197,67
"CUNH3orf20",132,155,69,44,117,34
"CUNH3orf33",169,289,888,427,621,432
"CUNH3orf38",265,283,156,584,338,222
"CUNH3orf52",229,267,292,249,417,287
"CUNH3orf70",39,116,58,168,200,101
"CUNH3orf85",0,1,0,0,0,0
"CUNH4orf19",1,3,0,0,1,0
"CUNH4orf33",81,98,134,107,82,70
"CUNH4orf46",1380,1512,641,1365,2049,840
"CUNH4orf47",45,42,24,15,34,29
"CUNH4orf48",6,20,1,3,1,5
"CUNH4orf50",2003,2649,451,1181,883,267
"CUNH4orf54",3,48,7,8,18,7
"CUNH5orf15",6047,6833,7166,5622,8885,4703
"CUNH5orf22",2015,3102,1856,2129,2725,1451
"CUNH5orf24",1121,1491,836,1407,1678,815
"CUNH5orf34",447,669,294,1168,630,247
"CUNH5orf47",1,7,4,1,7,2
"CUNH5orf49",356,597,839,1288,928,1634
"CUNH5orf51",55,56,133,202,106,114
"CUNH5orf63",14,19,26,40,28,19
"CUNH6orf120",118,220,156,200,225,170
"CUNH6orf132",4,49,5,22,12,3
"CUNH6orf163",53,54,162,31,108,36
"CUNH6orf58",0,3,0,0,0,0
"CUNH6orf62",3433,6540,4674,8112,11037,4961
"CUNH6orf89",556,796,778,939,1095,1008
"CUNH7orf25",774,1111,929,920,1129,650
"CUNH7orf26",497,680,452,737,1007,458
"CUNH7orf31",41,52,14,35,38,8
"CUNH7orf50",169,157,186,118,362,113
"CUNH7orf57",118,358,269,617,1176,1002
"CUNH8orf34",1,22,0,0,0,0
"CUNH8orf48",2214,3089,1629,3166,4560,2082
"CUNH8orf58",8,58,21,33,32,40
"CUNH8orf76",347,610,243,726,731,411
"CUNH8orf88",1,9,5,1,0,0
"CUNH9orf116",0,8,4,3,3,9
"CUNH9orf152",282,282,210,209,272,197
"CUNH9orf24",0,2,0,7,5,3
"CUNH9orf40",1250,2040,1335,4081,2364,1415
"CUNH9orf64",228,262,172,368,245,212
"CUNH9orf78",1953,2058,2212,2758,3005,1520
"CUNH9orf85",990,1532,2564,4137,1312,2066
"CUNHXorf65",0,12,1,4,2,3
"CUTA",0,3,0,1,0,0
"CUTC",461,773,259,952,1025,370
"CUX1",1312,1684,1536,1555,2331,2188
"CUX2",7,79,3,2,23,11
"CUZD1",0,5,0,0,0,0
"CWC15",7852,7694,8311,6123,7655,4253
"CWC22",5470,4942,3861,4298,4891,2860
"CWC25",1264,1518,985,1290,1661,821
"CWC27",1458,1411,1154,2755,1173,842
"CWF19L1",1203,1622,946,1662,2096,1151
"CWF19L2",1954,2148,1387,2249,2203,1260
"CWH43",106,409,74,70,106,92
"CX3CR1",26,10,9,38,43,32
"CXADR",3,12,1,0,8,0
"CXCL12",1,12,1,1,6,0
"CXCL14",0,0,0,0,0,0
"CXCR4",248,668,442,465,874,350
"CXCR5",3,17,3,19,22,16
"CXCR6",374,269,310,436,353,213
"CXXC4",5,34,7,5,3,8
"CXXC5",52,61,46,24,83,49
"CYFIP1",233,550,123,347,539,276
"CYFIP2",187,361,98,139,829,158
"CYGB",18,15,4,12,42,32
